,店內開盒遊戲列表,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,分類,標籤1,標籤2,標籤3
溫達克,ㄨ,Wendake,英,1-4,2F,7.9,4,60-120,3.58,https://boardgamegeek.com/boardgame/229265/wendake,豪豪,,,策略,,,
聖瑪莉亞號,ㄕ,Santa Maria,英,1-4,H1,7.8,3,45-90,2.96,https://boardgamegeek.com/boardgame/229220/santa-maria,豪豪,,,策略,,,
夢境之地,ㄇ,Dreamscape,中,1-4,H1,7.5,2,60-90,3.15,https://boardgamegeek.com/boardgame/231038/dreamscape,烏嘎嘎,,,,,,
推理事件簿-無冕正義1900,ㄊ,Chronicles of Crime: 1900,中,1-4,H3,8.2,1-1,60-90,1.83,https://boardgamegeek.com/boardgame/302098/chronicles-crime-1900,烏嘎嘎,,,,,,
推理事件簿：紅景鎮迷蹤,ㄊ,Chronicles of Crime: Welcome to Redvie,中,1-4,H3,7.6,2,30-90,1.91,https://boardgamegeek.com/boardgameexpansion/258089/chronicles-crime-welcome-redview,烏嘎嘎,,,,,,
推理事件簿：黑幕,ㄊ,Chronicles of Crime: Noir,中,1-4,H3,8,2,60-90,2,https://boardgamegeek.com/boardgameexpansion/249811/chronicles-crime-noir,烏嘎嘎,,,,,,
推理事件簿-叛客俠道2400,ㄊ,Chronicles of Crime: 2400,中,1-4,H3,8.1,2,60-90,2,https://boardgamegeek.com/boardgame/302312/chronicles-crime-2400,烏嘎嘎,,,,,,
推理事件簿,ㄊ,Chronicles of Crime,中,1-4,H3,7.7,2,60-90,2.07,https://boardgamegeek.com/boardgame/239188/chronicles-crime,烏嘎嘎,v,,,,,
推理事件簿-騎士信條1400,ㄊ,Chronicles of Crime: 1400,中,1-4,H3,7.9,2,60-90,2.12,https://boardgamegeek.com/boardgame/300300/chronicles-crime-1400,烏嘎嘎,,,,,,
仙境幽谷：珍珠溪,ㄒ,Everdell: Pearlbrook,中,1-4,H3,7.7,3,40-80,2.76,https://boardgamegeek.com/boardgameexpansion/259996/everdell-pearlbrook,烏嘎嘎,,,,,,
仙境幽谷,ㄒ,Everdell,中,1-4,H3,8.1,3,40-80,2.81,https://boardgamegeek.com/boardgame/199792/everdell,烏嘎嘎,,,,,,
時空亂序,ㄕ,Anachrony,中,1-4,I1,8.2,3,30-120,3.93,https://boardgamegeek.com/boardgame/185343/anachrony,豪豪,,,,,,
里斯本,ㄌ,Lisboa,英,1-4,I1,8.2,3,60-120,4.51,https://boardgamegeek.com/boardgame/161533/lisboa,豪豪,,,,,,
馬約利卡,ㄇ,Majolica,中,1-4,I2,6.9,2-3,40,2.83,https://boardgamegeek.com/boardgame/258041/majolica,豪豪,,,,,,
格陵蘭島,ㄍ,Greenland (Third Edition),中,1-4,I2,7.3,N/A,60-120,3.58,https://boardgamegeek.com/boardgame/266447/greenland-third-edition,豪豪,,,,,,
薩凡納公園,ㄙ,Savannah Park,中,1-4,I4,7.2,2-3,20-40,1.7,https://boardgamegeek.com/boardgame/339484/savannah-park,烏嘎嘎,,,,,,
恐龍島,ㄎ,Dinosaur Island,中,1-4,J2,7.7,3-4,90-120,3.03,https://boardgamegeek.com/boardgame/221194/dinosaur-island,烏嘎嘎,,,,,,
中世紀：時代紀元,ㄓ,Era: Medieval Age,中,1-4,J3,7.3,"2,4",45-60,2.33,https://boardgamegeek.com/boardgame/270971/era-medieval-age,烏嘎嘎,,,,,,
唐苑,ㄊ,Tang Garden,中,1-4,J3,7.5,3,40-60,2.61,https://boardgamegeek.com/boardgame/252153/tang-garden,烏嘎嘎,,,,,,
聖瓦西里大教堂,ㄕ,The Red Cathedral,中,1-4,J3,7.8,3,80,2.8,https://boardgamegeek.com/boardgame/227224/red-cathedral,烏嘎嘎,,,,,,
華麗開演,ㄏ,The Magnificent ,中,1-4,J3,7.6,,60-90,3.14,https://boardgamegeek.com/boardgame/283863/magnificent,烏嘎嘎,,,,,,
