,店內開盒遊戲列表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,租金,分類,標籤1,標籤2,標籤3,貼紙,圖片,教學,出處,玩家模式,遊戲簡介
敦煌：絲路,ㄉ,Dunhuang: Pearl on the Silk Road,中,1-4,E1,6.8,4,40-120,3.33,https://boardgamegeek.com/boardgame/303540/dunhuang-pearl-silk-road,烏嘎嘎,,,,策略,重策,,,紅色,,,,超燒腦,
築夢計畫,ㄓ,Project Dreamscape,中,1-4,E2,6.6,2,30,1.67,https://boardgamegeek.com/boardgame/168232/project-dreamscape,烏嘎嘎,,,,小品,,,,綠色,,,,,
晝夜星,ㄓ,Solenia,中,1-4,E3,7.1,3,30-45,2.17,https://boardgamegeek.com/boardgame/254018/solenia,烏嘎嘎,,,,策略,中策,,,黃色,,,,,
大洋之下,ㄉ,Aquatica,中,1-4,E3,7.4,3,30-60,2.28,https://boardgamegeek.com/boardgame/283393/aquatica,烏嘎嘎,,,,策略,中策,,,黃色,,,,,
香草花園,ㄒ,Herbaceous,中,1-4,E4,7.4,4,15-20,1.2,https://boardgamegeek.com/boardgame/195314/herbaceous,烏嘎嘎,,,,小品,,,,綠色,,https://youtu.be/ee6S87-NY70?si=w7mEpAL5bqdRJS-K,逸馬的桌遊小教室,,
漫步彩色島 ,ㄇ,Walking in Burano,中,1-4,E4,7.2,3,20-40,2.04,https://boardgamegeek.com/boardgame/257769/walking-burano,烏嘎嘎,,550,100,策略,輕策,,,綠色,v,https://youtu.be/2z-paM8Zqww?si=hoCX4QixLbcIhqH2,逸馬的桌遊小教室,,
繽紛夜光蟲,ㄅ,Noctiluca,中,1-4,E5,7.2,2,30,1.36,https://boardgamegeek.com/boardgame/269752/noctiluca,烏嘎嘎,,1200,150,小品,,,,黃色,v,,,,
聊齋,ㄌ,Ghost Stories,英,1-4,F1,7.4,4,60,2.9,https://boardgamegeek.com/boardgame/37046/ghost-stories,烏嘎嘎,,,,策略,中策,,,紅色,,,,超燒腦,
醫學之父,ㄧ,Hippocrates,中,1-4,F2,7,4,90-120,2.87,https://boardgamegeek.com/boardgame/327971/hippocrates,烏嘎嘎,,,,策略,中策,,,紅色,,,,超燒腦,
極東之旅,ㄐ,Stroganov,中,1-4,F2,7.4,3,90,3.12,https://boardgamegeek.com/boardgame/323156/stroganov,烏嘎嘎,,,,策略,重策,,,紅色,,,,超燒腦,
